Completion Code (1=completed PhD; 2=left without PhD),Time to Degree,Time to Leaving,Discipline,Gender Code (1=F; 2=M),GRE V,GRE Q
1,5.00,,Engineering,2,570,750
1,4.00,,Engineering,2,570,750
1,5.00,,Engineering,2,580,770
1,6.00,,Engineering,2,590,710
1,5.00,,Engineering,2,590,780
1,5.00,,Engineering,2,590,800
1,6.00,,Engineering,2,600,800
1,7.00,,Engineering,2,620,750
1,5.00,,Engineering,2,630,800
1,6.00,,Engineering,2,650,730
1,4.00,,Engineering,2,660,800
1,4.00,,Engineering,2,680,660
1,5.00,,Engineering,2,680,720
1,7.00,,Engineering,2,680,780
1,7.00,,Engineering,2,700,760
1,6.00,,Engineering,2,710,780
1,2.00,,Engineering,2,710,800
1,7.00,,Engineering,2,720,790
1,7.00,,Engineering,1,680,800
1,10.00,,Engineering,2,250,650
1,8.00,,Engineering,2,330,770
1,5.00,,Engineering,1,350,590
1,4.00,,Engineering,1,470,730
1,4.00,,Engineering,1,490,770
1,5.00,,Engineering,1,500,710
1,4.00,,Engineering,1,510,690
1,7.00,,Engineering,1,600,730
1,4.00,,Engineering,1,610,780
1,4.00,,Engineering,1,610,780
1,3.00,,Engineering,1,630,750
1,4.00,,Engineering,2,370,670
1,5.00,,Engineering,2,370,740
1,4.00,,Engineering,2,460,690
1,6.00,,Engineering,2,480,770
1,4.00,,Engineering,2,500,800
1,3.00,,Engineering,2,530,780
1,7.00,,Engineering,2,550,690
1,5.00,,Engineering,2,560,740
1,6.00,,Engineering,2,590,660
1,5.00,,Engineering,2,590,800
1,5.00,,Engineering,2,600,770
1,5.00,,Engineering,2,610,790
1,5.00,,Engineering,2,610,800
1,5.00,,Engineering,2,620,710
1,4.00,,Engineering,2,620,740
1,6.00,,Engineering,2,650,760
1,4.00,,Engineering,2,780,800
1,6.00,,Engineering,1,530,760
1,6.00,,Engineering,1,660,760
1,6.00,,Engineering,2,370,700
1,6.00,,Engineering,2,410,690
1,6.00,,Engineering,2,410,690
1,8.00,,Engineering,2,450,680
1,10.00,,Engineering,2,470,800
1,11.00,,Engineering,2,480,640
1,5.00,,Engineering,2,530,800
1,6.00,,Engineering,2,560,750
1,2.00,,Engineering,2,270,390
1,6.00,,Engineering,2,490,630
1,3.00,,Engineering,2,530,700
1,4.00,,Engineering,2,620,710
1,6.00,,Engineering,2,330,730
1,11.00,,Engineering,2,460,640
1,4.00,,Engineering,2,570,690
1,5.00,,Engineering,2,610,780
1,6.00,,Non-Engineering,1,490,620
1,6.00,,Non-Engineering,1,550,630
1,5.00,,Non-Engineering,1,560,580
1,5.00,,Non-Engineering,1,560,730
1,7.00,,Non-Engineering,1,620,580
1,6.00,,Non-Engineering,2,300,710
1,5.00,,Non-Engineering,2,440,640
1,6.00,,Non-Engineering,2,510,520
1,5.00,,Non-Engineering,2,710,790
1,5.00,,Non-Engineering,1,340,290
1,3.00,,Non-Engineering,1,490,570
1,4.00,,Non-Engineering,1,570,530
1,7.00,,Non-Engineering,1,650,500
1,7.00,,Non-Engineering,2,420,620
1,3.00,,Non-Engineering,2,520,580
1,3.00,,Non-Engineering,2,450,780
1,3.00,,Non-Engineering,2,590,760
1,4.00,,Non-Engineering,1,450,680
1,6.00,,Non-Engineering,1,470,690
1,7.00,,Non-Engineering,1,500,640
1,6.00,,Non-Engineering,1,580,790
1,5.00,,Non-Engineering,1,410,640
1,6.00,,Non-Engineering,1,430,720
1,7.00,,Non-Engineering,1,560,650
1,7.00,,Non-Engineering,2,340,570
1,7.00,,Non-Engineering,2,340,570
1,6.00,,Non-Engineering,2,440,730
1,5.00,,Non-Engineering,2,480,710
1,5.00,,Non-Engineering,2,480,710
1,8.00,,Non-Engineering,2,490,700
1,5.00,,Non-Engineering,2,510,550
1,5.00,,Non-Engineering,2,510,550
1,5.00,,Non-Engineering,2,540,690
1,7.00,,Non-Engineering,2,600,790
1,6.00,,Non-Engineering,2,320,550
1,5.00,,Non-Engineering,2,450,610
1,5.00,,Non-Engineering,2,460,730
1,5.00,,Non-Engineering,2,470,620
1,6.00,,Non-Engineering,2,480,670
1,4.00,,Non-Engineering,2,570,620
1,6.00,,Non-Engineering,2,610,620
1,6.00,,Non-Engineering,2,640,800
1,5.00,,Non-Engineering,2,690,630
1,4.00,,Non-Engineering,1,540,660
1,6.00,,Non-Engineering,1,640,630
1,4.00,,Non-Engineering,2,480,540
1,5.00,,Non-Engineering,2,480,720
1,8.00,,Non-Engineering,2,500,560
1,4.00,,Non-Engineering,2,550,690
1,6.00,,Non-Engineering,2,550,750
1,7.00,,Non-Engineering,2,640,700
1,5.00,,Non-Engineering,1,270,360
1,8.00,,Non-Engineering,1,290,540
1,4.00,,Non-Engineering,1,310,660
1,3.00,,Non-Engineering,1,320,600
1,6.00,,Non-Engineering,1,330,450
1,5.00,,Non-Engineering,1,350,640
1,5.00,,Non-Engineering,1,410,470
1,6.00,,Non-Engineering,1,410,520
1,8.00,,Non-Engineering,1,430,550
1,6.00,,Non-Engineering,1,430,590
1,8.00,,Non-Engineering,1,430,750
1,7.00,,Non-Engineering,1,440,650
1,6.00,,Non-Engineering,1,450,470
1,7.00,,Non-Engineering,1,450,640
1,7.00,,Non-Engineering,1,450,650
1,7.00,,Non-Engineering,1,460,430
1,5.00,,Non-Engineering,1,460,580
1,5.00,,Non-Engineering,1,460,660
1,3.00,,Non-Engineering,1,470,570
1,5.00,,Non-Engineering,1,470,660
1,4.00,,Non-Engineering,1,480,580
1,5.00,,Non-Engineering,1,480,590
1,6.00,,Non-Engineering,1,480,590
1,6.00,,Non-Engineering,1,480,610
1,6.00,,Non-Engineering,1,480,610
